id,feature1,feature2,target
0,0.20630166917305282,A,2
1,0.3904615690965936,B,2
2,0.12089439032984761,A,0
3,0.44060561387043407,B,0
4,0.9737480220034452,A,2
5,0.15988488106231147,B,2
6,0.8346206024085473,A,0
7,0.856234549847924,B,0
8,0.12383235881919363,A,0
9,0.6393323746077205,B,2
10,0.3519188147624859,A,0
11,0.7215999124989714,B,1
12,0.5863483055307486,A,2
13,0.8809310785858089,B,1
14,0.012223469941913367,A,0
15,0.35284687307215445,B,2
16,0.8014780681736404,A,0
17,0.35940009716836263,B,0
18,0.7997167904940807,A,0
19,0.9582840513738156,B,2
